Year,Civilian_Casualty,Civilian_Deaths,Civilian_Injuries,AGEs_prct,Pro-govt_prct,Others_prct,US Troop Level,US_Troop_Level,IEDS_prct,Suicide_prct,Airstrikes_prct,Peace_Support_prct,Support_for_Taliban,Hope,Fear,Victim,Corruption,Insecurity
2009,"5978","2412","3566",67,25,8,"67,000",67,34,10,15,71,56,42,51,17,17,36
2010,"7158","2790","4368",76,12,12,"100,000",100,36,14,4,83,40,47,54,17,27,37
2011,"7528",3021,"4507",77,14,9,"100,000",100,32,14,6,82,29,46,56,22,16,38
2012,"7559","2754","4805",81,8,11,"77,000",77,33,18,3,81,30,52,48,16,25,26
2013,"8615","2959","5656",74,16,10,"46,000",46,34,15,2,63,35,57,59,19,26,30
2014,"10548","3699","6849",72,14,14,"16,000",16,28,15,2,73,32,56,64,16,28,34
2015,"11002","3545","7457",62,17,21,"9,800",10,21,17,3,63,28,37,67,18,90,42
2016,"11418","3498","7920",61,24,15,"8,400",8,19,17,5,63,11,29,70,19,90,49
2017,"10453","3438","7015",65,20,15,"16,491",16,18,22,6,63,16,33,71,19,84,70
2018,"10993","3804","7189",57,22,21,"14,000",14,16,26,9,54,14,33,71,19,71,73
2019,"10392","3403","6989",59,26,15,"12,000",12,22,20,10,64,13,36,76,18,82,75
